60,30571,24919
70,42575,30221
80,30761,29661
90,31694,12668
100,32453,12435
110,29569,14415
120,35421,16368
130,37512,19155
140,32020,23845
150,24615,24682
160,26808,28824
170,36772,41872
180,23391,40256
190,27955,37774
200,25616,43475
210,40812,32616
220,49341,8671
230,50488,9579
240,33417,10245
250,38998,11865
260,37912,12448
270,62508,12357
280,56344,12931
290,42754,13187
300,44433,14141
310,48131,14730
320,53883,15581
330,54351,16598
340,62083,16960
350,73386,18226
360,61131,18947
370,54288,19560
380,47539,23193
390,54887,20677
400,47880,21950
410,56978,31860
420,51925,23628
430,54465,30818
440,55052,25359
450,52633,26484
460,59248,27957
470,60656,30793
480,61614,44450
490,78287,31568
500,69735,32518
510,74752,32157
520,84959,33400
530,77399,34887
540,76703,38654
550,72447,36559
560,77076,38105
570,114891,40154
580,78283,46784
590,81592,41887
600,84424,43785
610,88562,44212
620,90779,46902
630,100572,52988
640,98022,48606
650,90346,51261
660,93761,53476
670,101605,52842
680,122507,53605
690,145644,59304
700,142532,59956
710,123731,58234
720,100232,59814
730,101054,61020
740,102799,63430
750,114637,64326
760,115076,69662
770,118883,70587
780,122682,69469
790,131898,70828
800,122251,73252
810,141416,74356
820,136156,79406
830,148331,79694
840,132256,79833
850,149854,84104
860,160470,85028
870,146285,85394
880,148870,86692
890,156001,87268
900,162581,95455
910,147930,97542
920,158923,100009
930,147864,95746
940,177135,98578
950,152013,99090
960,147134,104322
970,170477,110236
980,172036,108198
990,187261,108053
1000,167549,115167
1010,166284,113577
1020,169349,112585
1030,186204,115749
1040,178309,126332
1050,181474,118842
1060,193088,125941
1070,199960,123659
1080,202394,126592
1090,205304,127990
1100,220262,131741
1110,221171,133473
1120,181487,134669
1130,230904,145695
1140,190272,145160
1150,226960,140898
1160,217277,149945
1170,219397,145642
1180,212582,150843
1190,213829,153676
1200,201907,151088
1210,249150,157890
1220,227782,178645
1230,243050,155746
1240,228306,175961
1250,232100,161182
1260,274317,180351
1270,229400,165852
1280,245521,166896
1290,277818,171396
1300,240090,172485
1310,280722,177606
1320,311497,189829
1330,284284,191340
1340,298988,191912
1350,321479,198872
1360,266047,187414
1370,268651,190110
1380,312211,199905
1390,314220,197460
1400,304068,199627
1410,282940,200223
1420,267083,230275
1430,312048,208296
1440,304641,209619
1450,299764,216765
1460,318198,231467
1470,323394,219035
1480,278325,222587
1490,297223,238793
1500,340501,239151
1510,356630,228924
1520,332889,233966
1530,315824,240748
1540,376174,350774
1550,373931,642850
1560,363268,314924
1570,449222,356838
1580,407350,260757
1590,379798,264617
1600,381917,287528
1610,408793,278852
1620,384100,267358
1630,446825,273130
1640,405277,295163
1650,396041,285146
1660,403536,276507
1670,384949,284716
1680,429175,323107
1690,390033,292014
1700,383973,289978
1710,428482,313897
1720,407809,303056
1730,397082,324811
1740,358488,302034
1750,420810,305692
1760,443332,332421
1770,447136,320852
1780,441130,333596
1790,492886,344745
1800,452254,350035
1810,448382,422650
1820,662475,402509
1830,469191,354966
1840,405332,366040
1850,474938,371076
1860,444060,352298
1870,633564,424464
1880,512737,428655
1890,461063,380263
1900,488304,395795
1910,542317,371959
1920,531343,375617
1930,470102,404662
1940,504444,383438
1950,507327,390733
1960,535486,389858
1970,509334,400068
1980,519329,425011
1990,480269,408341
2000,557698,394225
2010,531377,409786
2020,519080,400303
2030,562583,403689
2040,577299,417287
2050,569195,411806
2060,521627,441722
2070,626624,444495
2080,508583,437900
2090,605970,439586
2100,622066,435144
2110,550475,450372
2120,640388,469598
2130,590561,450208
2140,635819,485497
2150,644678,470724
2160,588224,464314
2170,586693,481991
2180,565784,480943
2190,580459,483973
2200,630171,484218
2210,532128,492549
2220,587383,496307
2230,663856,513695
2240,628853,496640
2250,664433,511110
2260,680304,496579
2270,681763,515008
2280,659639,512156
2290,627826,523632
2300,676031,553159
2310,710313,522492
2320,558624,542944
2330,711450,574627
2340,661973,533987
2350,691721,546720
2360,678583,542548
2370,771032,575039
2380,656928,562685
2390,783263,584873
2400,795839,578749
2410,735077,579704
2420,885342,586098
2430,753404,616952
2440,644814,615342
2450,672186,598600
2460,680392,601454
2470,767907,619668
2480,876296,613719
2490,745090,648839
2500,771506,709761
2510,832640,700405
2520,864788,629655
2530,829826,664484
2540,774241,673983
2550,793663,664730
2560,943515,657594
2570,882195,661664
2580,772541,666921
2590,874996,649897
2600,893231,677281
2610,835931,687554
2620,905276,672606
2630,930401,682644
2640,830264,687164
2650,956967,702890
2660,874005,748820
2670,801511,710421
2680,1024024,703595
2690,850535,721324
2700,819059,720250
2710,931110,735413
2720,985543,722415
2730,879290,741195
2740,948582,763424
2750,965273,734697
2760,931132,773841
2770,954197,754084
2780,949292,743857
2790,1112610,767696
2800,947213,761259
2810,1025300,805892
2820,952639,794490
2830,939856,785926
2840,916577,800671
2850,924050,780398
2860,923863,810829
2870,944086,830813
2880,983844,841224
2890,930585,862703
2900,922746,850944
2910,959320,843469
2920,917637,875468
2930,1067880,866249
2940,1113660,865822
2950,954064,914295
2960,925835,879530
2970,1085108,880614
2980,899544,871805
2990,1026965,983472
3000,997648,872692
3010,1013243,902586
3020,1068733,909534
3030,1117149,1034449
3040,904406,912149
3050,1015114,954626
3060,1066698,958195
3070,969885,1099737
3080,1212669,936583
3090,1133986,961642
3100,1227475,1095491
3110,1300807,983724
3120,1333914,991992
3130,1324199,974001
3140,1405288,985499
3150,1122498,986892
3160,1358062,973761
3170,1290334,972914
3180,1212224,1003106
3190,1336926,992074
3200,1179737,1007758
3210,1196661,1022640
3220,1173928,1047062
3230,1570715,1029100
3240,1337940,1014429
3250,1327901,1114934
3260,1394556,1075845
3270,1333964,1061718
3280,1394097,1064025
3290,1476242,1097733
3300,1388989,1083853
3310,1225989,1092121
3320,1237597,1086853
3330,1062361,1232982
3340,1182727,1114809
3350,1537349,1122161
3360,1445769,1137844
3370,1276813,1141285
3380,1204488,1130596
3390,1291568,1225249
3400,1342628,1234706
3410,1307248,1161286
3420,1285189,1163103
3430,1229881,1187704
3440,1342797,1157141
3450,1281911,1151600
3460,1284092,1196800
3470,1594477,1147169
3480,1573799,1168398
3490,1291415,1227658
3500,1427189,1179917
3510,1338444,1257111
3520,1468241,1298194
3530,1280489,1292076
3540,1385234,1238802
3550,1201728,1265713
3560,1475277,1258693
3570,1396378,1301952
3580,1629729,1279905
3590,1717045,1445109
3600,1478279,1423091
3610,1544814,1367796
3620,1499320,1330883
3630,1432588,1305830
3640,1771252,1324124
3650,1448123,1533924
3660,1644731,1430316
3670,1658035,1345098
3680,1559808,1328659
3690,1538874,1351080
3700,1727493,1471342
3710,1482617,1641725
3720,1411968,1393533
3730,1371417,1372355
3740,1463049,1391100
3750,1457625,1337651
3760,1540495,1612969
3770,1583605,1546992
3780,1482843,1416218
3790,1431441,1413448
3800,1463391,1462909
3810,1469172,1562674
3820,1566350,1574224
3830,1653982,1512835
3840,1476055,1531546
3850,1523706,1546121
3860,1524439,1599235
3870,2039281,1634279
3880,1532717,1508074
3890,1483057,1515718
3900,1560045,1663013
3910,1703805,1690995
3920,1723557,1537705
3930,1833057,1548931
3940,1707194,1563985
3950,1750058,1553422
3960,1581537,1631507
3970,1455485,1877797
3980,1727416,1568585
3990,1522337,1584460
4000,1645591,1542904
4010,1603227,1739844
4020,1661684,1813303
4030,1624725,1639154
4040,1641311,1636772
4050,1560007,1668073
4060,1709005,1994471
4070,1876898,1709640
4080,2065223,1656648
4090,1879735,1632163
4100,1890681,1695229
4110,1745136,2026922
