3,13983
4,20800
5,30600
6,32883
7,35000
8,48133
9,36666
10,43983
11,37183
12,33400
13,40500
14,39733
15,39016
16,52316
17,52416
18,104883
19,58116
20,60500
21,53350
22,59383
23,53583
24,57283
25,57000
26,59666
27,67016
28,67916
29,70300
30,70466
31,74816
32,77750
33,83400
34,85283
35,90283
36,87050
37,92783
38,94783
39,107616
40,103283
41,105666
42,108433
43,132116
44,115000
45,118700
46,120600
47,128316
48,125550
49,130450
50,144333
51,135866
52,164550
53,66000
54,47666
55,43300
56,45400
57,46766
58,51233
59,50083
60,48583
61,903283
62,62400
63,63783
64,66183
65,49966
66,59850
67,49550
68,40283
69,38466
70,38016
71,39533
72,41033
73,41083
74,42100
75,41350
76,41666
77,43333
78,45433
79,61516
80,46716
81,44733
82,45966
83,46150
84,48000
85,49650
86,55383
87,47366
88,37850
89,41133
90,47866
91,39433
92,40166
93,42516
94,41966
95,41800
96,42400
97,42933
98,42483
99,43200
100,43483
